Budget_Million,Duration_Months,Team_Size,Complexity,Region,Stakeholder_Satisfaction,Success,ROI_Million
17.95,10,40,Low,North,1,0,3.59
9.66,32,18,High,South,2,0,4.4
19.23,35,22,Low,South,1,0,8.0
14.35,22,37,Medium,West,2,0,2.61
13.42,6,26,Medium,North,1,0,4.42
12.87,24,20,Medium,North,3,0,4.79
9.57,28,15,Medium,South,3,0,3.5
9.96,29,8,Low,East,3,0,0.65
19.8,22,39,Medium,East,3,0,5.94
13.14,27,40,Low,North,5,0,8.19
16.41,6,16,Medium,West,1,0,6.42
11.6,12,27,Medium,South,4,0,7.15
6.33,35,23,Low,West,5,0,4.24
19.09,11,36,Medium,East,4,0,4.92
16.63,12,41,High,West,3,0,2.68
5.98,35,43,High,South,4,1,1.47
7.56,25,44,Medium,South,1,0,9.06
8.88,32,11,High,North,1,0,2.44
10.38,8,20,Medium,West,5,0,5.15
5.31,20,10,Low,North,5,1,8.22
15.98,25,36,Medium,West,2,0,5.83
17.23,25,33,Medium,North,2,0,4.55
11.41,26,42,Medium,South,4,0,4.96
17.43,29,28,Low,South,2,0,4.93
9.37,33,7,High,West,3,0,1.23
17.13,31,5,High,West,3,0,6.12
16.56,24,26,Low,South,5,0,2.17
12.71,33,36,High,South,1,0,3.8
9.68,30,30,Medium,North,4,0,5.1
15.26,30,29,Medium,East,4,0,5.09
17.03,14,44,Medium,North,5,0,5.25
6.62,31,12,Medium,East,5,0,2.48
13.97,32,45,Low,North,4,0,5.25
12.41,35,34,High,South,4,0,6.19
18.31,33,11,Low,East,3,0,9.17
6.83,35,35,Low,South,5,0,5.15
13.2,18,5,Medium,West,2,0,0.71
9.88,24,24,Low,West,1,0,3.45
10.5,35,30,High,North,5,0,4.71
19.48,16,44,Medium,North,5,0,3.18
15.94,7,24,Medium,East,5,0,8.13
18.42,13,13,Medium,South,1,0,3.2
6.11,7,39,Medium,East,5,0,5.45
7.75,12,13,Low,South,5,0,8.44
5.95,22,37,Low,South,2,0,4.22
12.43,6,34,High,East,1,0,5.71
14.94,35,20,Medium,West,4,0,2.4
15.7,10,37,Medium,South,4,0,7.13
8.0,11,24,Medium,North,5,0,2.7
5.38,17,49,Medium,South,3,0,3.77
